"Occupation","Skill Vec","Description","Cluster K-15","Cluster K-25","Cluster K-30","Cluster Agg-25","Cluster Agg_25","Cluster Agg-35","Cluster Agg_35","Cluster K-30_Bis","Domain of Interest"
"3D animator","particleanimation principlesofanimation 3Dtexturing 3Dlighting augmentedreality computergraphics holography create3Denvironments apply3Dimagingtechniques create3Dcharacters animate3Dorganicforms discussartwork rig3Dcharacters render3Dimages operate3Dcomputergraphicssoftware managescheduleoftasks createanimatednarratives createstoryboards maintainanartisticportfolio usescriptingprogramming receiveappropriatepermissionsforuseofrecordedaudiovisualexamples developcreativeideas selectillustrationstyles drawdesignsketches","### Job Description: 3D Animator

As a 3D Animator, your main role is to bring virtual worlds to life! Imagine creating everything from fantastic characters to dynamic environments that feel as real as any place you’ve visited. On daily basis, you’ll use specialized computer software to design 3D models of characters and scenes. You’ll also rig characters, which means making them ready to move, and then animate them to walk, talk, or even fly!

Your job doesn’t stop there; you’ll work with textures and lighting to make scenes look believable or fantastical. You must understand how real-world physics works to make animations look logical and appealing. Sometimes, your creations will be used in augmented reality - which mixes real-world views with computer-generated scenes, or holography to create three-dimensional images that float in the air!

You also get to develop the story’s visual flow (storyboarding) and manage your workflow to meet project deadlines. Occasionally, you'll need to ensure that all the audio and visuals you use have the right permissions for use. Creative thinking and drawing are part of your everyday tools to make your animated stories come alive.

Get ready to dream and create worlds that have never been seen before!","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT accessibility tester","screenreader behaviouralscience ICTaccessibilitystandards levelsofsoftwaretesting WorldWideWebConsortiumstandards human-computerinteraction applicationusability useanapplication-specificinterface useexperiencemap testforemotionalpatterns assessusers'interactionwithICTapplications reporttestfindings providesoftwaretestingdocumentation testforbehaviouralpatterns conductresearchinterview executesoftwaretests executeICTuserresearchactivities addressproblemscritically measuresoftwareusability testsystemaccessibilityforuserswithspecialneeds replicatecustomersoftwareissues Agileprojectmanagement MDX cognitivepsychology JavaScript XQuery PHP SPARQL ICTdebuggingtools webprogramming toolsforICTtestautomation resourcedescriptionframeworkquerylanguage querylanguages LDAP AJAX ICTprojectmanagementmethodologies LINQ Process-basedmanagement leanprojectmanagement N1QL usemarkuplanguages managescheduleoftasks debugsoftware usescriptingprogramming developautomatedsoftwaretests developICTtestsuite conductICTcodereview givelivepresentation designuserinterface","**Job Title: ICT Accessibility Tester**

**Job Summary:**
An ICT Accessibility Tester checks software applications to ensure they can be easily used by everyone, including people with disabilities. Using various tools and knowledge of technology, their main job is to find and fix parts of an application that some users might find difficult to use.

**Key Responsibilities:**
- **Test and Improve**: They use special software and devices to test if apps are easy to use for people with disabilities, like those needing screen readers or with other needs.
- **Solve Problems**: When finding an issue, they think critically to figure out how to make it better.
- **Research and Understand Needs**: They talk to users to learn how they use technology and what difficulties they face.
- **Follow Standards**: There’s a set of rules (like for web) that they make sure the software meets.
- **Report and Document**: They write clear reports about what’s working and what’s not, so others can understand and make changes.

**Skills Needed:**
- Understanding basic coding in languages like JavaScript and PHP.
- Ability to manage your time well and stay organized.
- Good at solving problems and understanding how different people might use software.

**Why It's Important:**
They help make sure that everyone, regardless of challenges, can use modern technology effectively.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT account manager","salesargumentation service-orientedmodelling accountingtechniques channelmarketing productcomprehension salesstrategies guaranteecustomersatisfaction applycompanypolicies implementmarketingstrategies maintainrelationshipwithcustomers performdataanalysis performcustomers’needsanalysis implementcustomerfollow-up managecontracts usecustomerrelationshipmanagementsoftware maximisesalesrevenues producesalesreports developaccountstrategy implementsalesstrategies identifynewbusinessopportunities keeprecordsonsales Outsourcingmodel hybridmodel service-orientedmodelling Opensourcemodel studysaleslevelsofproducts ensurecompliancewithlegalrequirements deliverasalespitch performdatamining forecastaccountmetrics adheretoorganisationalguidelines coordinatetechnologicalactivities achievesalestargets maintaincustomerrecords setsalesgoals buildbusinessrelationships identifyICTuserneeds implementstrategicplanning performmarketresearch","**Job Title: ICT Account Manager**

**Job Description:**

As an ICT Account Manager, your main job is to help our company sell more of its tech products or services to other businesses. You will be the main point of contact between our company and our clients. Every day, you will work to understand what our clients need and make sure they're happy with what we're offering them. Here’s what you’ll do:

- **Build and Keep Relationships:** You’ll talk and meet with clients regularly. Your goal is to make sure they trust and continue working with us. 
- **Understand and Solve Client Needs:** You'll figure out what clients need by asking questions and analyzing data. Then, you'll show them how our tech can fit or solve their problems.
- **Sell Products:** Convince clients that our products are the best choice through clear and compelling explanations.
- **Manage Details:** Keep track of sales, client information, and contracts using special software. 

You'll also work on strategies to attract new customers and think of ideas to sell more effectively. Besides selling, you'll check to make sure everything we do meets legal rules and company policies.

**Skills Required**: Good at talking to people, solving problems, planning, and understanding technology.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT auditor manager","attackvectors audittechniques cybersecurity qualitystandards ICTprojectmanagement controlobjectivesforinformationandrelatedtechnology manageITsecuritycompliances ensurecompliancewithlegalrequirements preparefinancialauditingreports performcontractcomplianceaudits implementICTriskmanagement developICTworkflow monitortechnologytrends executeICTaudits ensureadherencetoorganisationalICTstandards identifylegalrequirements buildbusinessrelationships developauditplan managestandardenterpriseresourceplanningsystem informationstructure systemsdevelopmentlife-cycle ICTqualitypolicy JavaScript ICTsecuritystandards PHP webprogramming ICTsecuritylegislation organisationalresilience informationconfidentiality legalrequirementsofICTproducts AJAX cloudtechnologies ICTprocessqualitymodels usemarkuplanguages coachemployees implementICTsecuritypolicies managechangesinICTsystem developinformationsecuritystrategy ensureinformationprivacy developICTtestsuite trainemployees implementcorporategovernance","### Job Description: ICT Auditor Manager

As an ICT Auditor Manager, your job is to make sure our company's technology systems are safe, meet legal standards, and work effectively. Imagine this as being the tech-health inspector for our digital world. Every day, you will:

- **Check and safeguard:** You'll look deep into our tech tools and systems (like websites and databases) to ensure they are immune from attacks (imagine checking all the doors and windows in a house to ensure no thieves can enter).
- **Keep us on track with laws:** Make sure everything we do with our technology is within what the law allows. Think of this as constantly referring to a rule book during a game to make sure all players are playing fairly.
- **Plan and teach:** Develop plans on how to test and improve our technology and teach the team about these strategies, similar to a coach who prepares and trains a team for a big match.
- **Maintain relationships and meet standards:** Just like making friends at school, you'll need to build and maintain good relationships with other businesses. You'll also ensure our tech projects align with high-quality standards, kind of like ensuring your school projects get A grades.
- **Adapt and update:** As technology evolves, so do threats and opportunities, so part of your job will also involve staying current with tech trends and updating our strategies accordingly.

In this role, you will act like the captain of a ship in the digital sea, navigating through challenges and ensuring safe, efficient, and lawful use of technology.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT business analysis manager","digitalcommunicationandcollaboration decisionsupportsystems ICTsecuritylegislation businessprocessmodelling businessprocesses proposeICTsolutionstobusinessproblems definetechnologystrategy performbusinessanalysis provideICTconsultingadvice designprocess manageICTproject providecostbenefitanalysisreports createbusinessprocessmodels improvebusinessprocesses trackkeyperformanceindicators writework-relatedreports coordinatetechnologicalactivities analysebusinessrequirements definetechnicalrequirements makestrategicbusinessdecisions implementstrategicplanning systemsdevelopmentlife-cycle datamining visualpresentationtechniques informationextraction businessstrategyconcepts ICTmarket communicatewithcustomers executeanalyticalmathematicalcalculations applychangemanagement usedifferentcommunicationchannels performdatamining providetrainingontechnologicalbusinessdevelopments identifyprocessesforre-engineering adapttochangingsituations","**Job Title: ICT Business Analysis Manager**

**Job Description:**

Are you someone who loves solving puzzles and figuring out the best ways to use technology in a business? As an ICT Business Analysis Manager, you will play a key role in helping a company make smart decisions about technology. Each day, you'll evaluate the company's technology needs, suggest new systems or improvements, and help manage technology projects to ensure everything runs smoothly. 

Your daily tasks will include creating plans on how to use tech tools effectively, analyzing how the company does its work (business processes), and presenting ideas with cool graphics and reports. You'll also help the company stay secure and follow tech laws. Part of your role involves listening to what the company needs, planning for future tech changes, and training others on new tech developments.

You will also be looking at a lot of data to help make decisions and you will often work with others, coordinating activities, and explaining complex tech stuff in a simple way. Your goal is to make the company work better, faster, and safer with the help of technology. If you like a challenge and want to make a big impact, this is the job for you!","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT business analyst","businessrequirementstechniques digitalsystems productusagerisksanalysis businessprocessmodelling legalrequirementsofICTproducts proposeICTsolutionstobusinessproblems identifycustomerrequirements translaterequirementsintovisualdesign applychangemanagement providecostbenefitanalysisreports analysebusinessprocesses createbusinessprocessmodels analysethecontextofanorganisation interactwithuserstogatherrequirements analysebusinessrequirements identifylegalrequirements definetechnicalrequirements implementstrategicplanning systemsdevelopmentlife-cycle internalriskmanagementpolicy businessintelligence informationarchitecture innovationprocesses visualpresentationtechniques decisionsupportsystems informationextraction organisationalresilience informationcategorisation cloudtechnologies businessstrategyconcepts unstructureddata businessICTsystems ICTmarket designprocess executeanalyticalmathematicalcalculations provideuserdocumentation manageICTproject","**Job Title: ICT Business Analyst**

As an ICT Business Analyst, your job is to help a company understand and improve its processes that involve technology. Here’s what you’ll do:

1. **Understand Needs**: You'll talk to users and customers to find out what they need from our digital systems.
2. **Analyze and Model**: You'll look closely at how our business works and use tools to represent these processes visually, making it easier to understand and improve them.
3. **Identify Risks and Requirements**: Figure out what might go wrong and what legal rules we need to follow when using or creating digital products.
4. **Suggest Improvements**: Propose new tech solutions to solve business problems, making the company work better and more efficiently.
5. **Design and Document**: Translate what people need into designs that our tech team can build, and write guides on how to use the new systems.
6. **Ensure Value**: Make sure that the tech solutions are worth the cost and help the business save money or make processes more efficient.
7. **Manage Changes**: Help the company smoothly adapt to these new solutions with minimal disruption.

Essentially, you make sure our technology meets the needs of our business and our customers in the most efficient and legally compliant way.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT business development manager","innovationprocesses decisionsupportsystems businessprocesses businessstrategyconcepts businessICTsystems ICTmarket interpretcurrentdata performbusinessanalysis collectcustomerfeedbackonapplications monitortechnologytrends innovateinICT analysebusinessrequirements givelivepresentation identifynewbusinessopportunities seekinnovationincurrentpractices performmarketresearch salesargumentation businessrequirementstechniques businessintelligence visualpresentationtechniques ICTcapacityplanningstrategies crowdsourcingstrategy informationextraction outsourcingstrategy businessprocessmodelling investmentanalysis insourcingstrategy communicatewithcustomers usedifferentcommunicationchannels managecontracts coordinatetechnologicalactivities buildbusinessrelationships","**Job Title: ICT Business Development Manager**

**Job Description:**

Are you someone who loves technology and enjoys thinking about creative ways to improve things? As an ICT Business Development Manager, you'll spend each day figuring out how technology can help businesses grow and run better. Here's what you'll do:

- **Understand Business Needs:** You'll study and understand what different businesses need, helping them figure out how technology can solve their problems.
  
- **Keep Up with Tech Trends:** Stay on top of the latest gadgets and technology trends to know what's new and how it can help your clients.
  
- **Talk to People:** You’ll communicate with customers to get feedback and explain new tech ideas to them in a simple way. This involves giving presentations and chatting through different methods like emails and meetings.

- **Plan and Organize:** Manage plans and contracts for how a business will use technology. You'll decide if tasks should be done within the company or outsourced to others.

- **Research and Innovate:** Regularly research and find exciting opportunities to introduce new tech or improve current practices by using crowdsourcing strategies and other innovative ideas.

You’ll be like a tech detective and advisor rolled into one, always looking for clues on how to help businesses succeed with new technologies!","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT buyer","contractlaw manufacturer'srecommendedprice productcomprehension electroniccommunication identifysuppliers maintainrelationshipwithcustomers carryouttendering trackpricetrends maintainrelationshipwithsuppliers coordinatepurchasingactivities issuepurchaseorders managecontracts analysesupplychainstrategies performprocurementprocesses maintaincontractadministration adheretoorganisationalguidelines comparecontractors'bids preparepurchasingreportings negotiatebuyingconditions businessrequirementstechniques hardwareplatforms emergenttechnologies softwarecomponentslibraries hardwarecomponents procurementlegislation businessICTsystems ICTmarket softwarecomponentssuppliers hardwarecomponentssuppliers supplychainmanagement managelogistics usee-procurement carryoutstatisticalforecasts performprojectmanagement identifyICTuserneeds","**Job Title: ICT Buyer**

**Job Description:**

As an ICT (Information and Communication Technology) Buyer, your role is to ensure our company gets the best technology at great prices. Every day, you'll work with software and hardware, discovering what's new and cool in tech. You'll talk with companies that make these products (suppliers) to figure out the costs and negotiate better deals.

Your main tasks include:
- Understanding the latest in tech and how we can use it.
- Finding and talking to tech product sellers.
- Managing how we buy and get these tech products to us.
- Keeping a good relationship with sellers so we can have ongoing deals.
- Making sure that the contracts we sign with sellers are clear and fair.
- Keeping track of how much we spend and saving money wherever possible.
- Making sure we follow all the rules when buying technology.
- Planning and organizing how we buy things so everything runs smoothly.

In this job, you’ll use computers to make most of your purchases and keep track of all the prices and products. It’s like being the tech-shopping expert for our company, making sure we always have what we need to do our best work.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT capacity planner","ICTcapacityplanningstrategies crowdsourcingstrategy outsourcingstrategy statisticalanalysissystemsoftware ICTinfrastructure insourcingstrategy applycompanypolicies performbusinessanalysis providecostbenefitanalysisreports developfinancialstatisticsreports improvebusinessprocesses forecastworkload planICTcapacity analysebusinessrequirements ensureadherencetoorganisationalICTstandards carryoutstatisticalforecasts performresourceplanning labourlegislation systemsdevelopmentlife-cycle MDX XQuery ICTsecuritystandards SPARQL businessprocessmodelling resourcedescriptionframeworkquerylanguage querylanguages LDAP cloudtechnologies LINQ N1QL ICTprocessqualitymodels createsolutionstoproblems administerICTsystem planmigrationtocloud provideICTconsultingadvice designprocess provideuserdocumentation usedifferentcommunicationchannels usescriptingprogramming designdatabasescheme collectcustomerfeedbackonapplications deployICTsystems performICTtroubleshooting executeICTaudits createdatabasediagrams implementavirtualprivatenetwork coordinatetechnologicalactivities performprojectmanagement","**Job Description: ICT Capacity Planner**

As an ICT Capacity Planner, your job is to make sure the company’s technology resources like computers, networks, and software run smoothly and can handle the amount of work expected, now and in the future. You'll use different methods and tools to predict how much technology (like server space and software) the company needs. Here’s what you’ll do:

- Plan how much tech resources are needed using data and smart predictions so everything works efficiently.
- Work with other teams and get their feedback to understand technology needs better.
- Decide whether tasks should be done inside the company or outsourced to others.
- Help to move some of our tech services to cloud technologies, which means using internet-based services to store data and run applications.
- Maintain high security and quality in all tech systems.
- Keep an eye on how well everything is working and fix any issues.
- Regularly check and report on costs versus benefits to ensure smart spending.

Your goal is to ensure that all business operations have the tech support they need to run effectively and to address future needs, preparing the company to adapt and grow. You’ll provide expert advice and create solutions while keeping everything within the company’s rules and standards.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT change and configuration manager","digitalsystems toolsforsoftwareconfigurationmanagement ICTprojectmanagementmethodologies projectconfigurationmanagement DevOps ICTprocessqualitymodels administerICTsystem developautomatedmigrationmethods managechangesinICTsystem applychangemanagement usescriptingprogramming deployICTsystems managesoftwarereleases manageICTvirtualisationenvironments performprojectmanagement buildbusinessrelationships trainemployees integratesystemcomponents ApacheMaven embeddedsystems computerprogramming OctopusDeploy Chef(toolsforsoftwareconfigurationmanagement) Codenvy Puppet(toolsforsoftwareconfigurationmanagement) STAF Vagrant integrateddevelopmentenvironmentsoftware controlobjectivesforinformationandrelatedtechnology Salt(toolsforsoftwareconfigurationmanagement) Jenkins(toolsforsoftwareconfigurationmanagement) migrateexistingdata designcloudarchitecture utilisecomputer-aidedsoftwareengineeringtools applychangemanagement performsoftwareunittesting applyoperationsforanITIL-basedenvironment performsoftwarerecoverytesting","**Job Title: ICT Change and Configuration Manager**

**Job Description:**

As an ICT Change and Configuration Manager, your main task is to oversee and manage the systems and software that make up our company's IT network. You’ll be like the captain of a ship for our digital systems, making sure everything runs smoothly and updates safely without messing up the data we already have. You'll use tools like Jenkins, Puppet, and Chef to handle these software changes. 

Your day-to-day duties include:
- Creating and following plans to improve our systems without causing disruptions.
- Managing software versions and making sure we're always using the latest, most secure versions.
- Using your expertise in computer programming and scripting to solve problems or upgrade our systems.
- Building strong relationships with team members and training them on new technology.
- Making sure all changes in the system are approved and documented (this is where Apache Maven and similar tools come into play).

This role requires good planning and organization skills because you’ll also manage how our digital tools evolve over time, ensuring the company stays up-to-date and secure in this fast-paced tech world.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT consultant","visualpresentationtechniques ICTsalesmethodologies ICTsystemintegration legalrequirementsofICTproducts identifycustomerrequirements managechangesinICTsystem keepupwiththelatestinformationsystemssolutions createprojectspecifications provideICTconsultingadvice provideuserdocumentation manageICTproject optimisechoiceofICTsolution identifytechnologicalneeds analyseICTsystem monitorsystemperformance managecontracts solveICTsystemproblems definetechnicalrequirements verifyformalICTspecifications managestandardenterpriseresourceplanningsystem analysesoftwarespecifications systemsdevelopmentlife-cycle Agileprojectmanagement emergenttechnologies softwarecomponentslibraries hardwarecomponents gametheory ICTprojectmanagementmethodologies Process-basedmanagement leanprojectmanagement copyrightlegislation ICTprocessqualitymodels manageICTchangerequestprocess usee-services maintainrelationshipwithcustomers keeptaskrecords interactwithuserstogatherrequirements identifyICTuserneeds","**Job Description: ICT Consultant**

Are you passionate about technology and problem-solving? As an ICT Consultant, your role is to help businesses run smoothly by making sure their computer systems meet their needs and function efficiently. This will require a mix of technical know-how and people skills. Here’s what you’ll do:

- **Understand and Design:** You'll talk to customers to understand what they need their tech to do, then plan and design the right system for them, using the latest in technology.
- **Build and Integrate:** Once the plan is ready, you’ll help in setting up or integrating new systems with existing ones, making sure they work well together.
- **Analyze and Optimize:** You’ll regularly check the systems to ensure they are working at their best and suggest improvements.
- **Troubleshoot and Support:** If problems arise, you'll need to find out what's wrong and how to fix it. You’ll also help everyone understand and use the system by providing guides and direct support.
- **Manage Projects and Relationships:** You will oversee projects from start to finish and keep a good relationship with customers and team members to ensure everything goes smoothly.

This job is perfect for those who love technology and enjoy helping people get the most out of it!","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT disaster recovery analyst","managestaff manageITsecuritycompliances applycompanypolicies networkmanagementsystemtools internalriskmanagementpolicy informationsecuritystrategy conductimpactevaluationofICTprocessesonbusiness buildbusinessrelationships ICTnetworksecurityrisks ICTcommunicationsprotocols implementavirtualprivatenetwork givelivepresentation managesystemsecurity systembackupbestpractice cyberattackcounter-measures organisationalresilience cybersecurity ICTinfrastructure respondtoincidentsincloud performbackups unstructureddata levelsofsoftwaretesting ICTproblemmanagementtechniques developinformationsecuritystrategy definesecuritypolicies optimisechoiceofICTsolution reportanalysisresults softwareanomalies productusagerisksanalysis developstrategytosolveproblems ICTdebuggingtools ICTrecoverytechniques managedisasterrecoveryplans ICTperformanceanalysismethods identifyICTsecurityrisks hardwarearchitectures protectICTdevices ICTprocessqualitymodels maintainplanforcontinuityofoperations mobileoperatingsystems implementICTrecoverysystem BlackBerry iOS Android(mobileoperatingsystems) ICTpowerconsumption","**Job Title: ICT Disaster Recovery Analyst**

**Job Description:**

As an ICT Disaster Recovery Analyst, your main job is to ensure that our company’s technology systems stay safe and can quickly recover from any kind of disaster, like cyberattacks or system failures. On a daily day, here’s what you’d typically do:

- **Protect Systems**: You’ll serve as a digital superhero protecting computers and networks from threats and ensuring they are secure.
- **Prep and Plan**: Develop strategies to help the company bounce back from disruptions smoothly. This includes creating and maintaining plans that outline step-by-step responses to different scenarios like data breaches or hardware damage.
- **Testing and Analysis**: Regularly test our systems for weaknesses and perform checks to analyze how different disasters could affect our business.
- **Build and Sustain Relationships**: Work with different teams within the company and with external partners to make sure our recovery plans work well and meet security standards.
- **Respond and Recover**: If an incident occurs, you’ll jump into action to manage the situation, minimize impacts, and restore normal operations as quickly as possible.

Your role is crucial in keeping the company’s digital infrastructure up and running, ensuring all our tech resources are fortified and resilient against any mishaps.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
"ICT documentation manager","industrialsoftware ICTprojectmanagement businessprocesses legalrequirementsofICTproducts contentdevelopmentprocesses developinformationstandards ensurecompliancewithlegalrequirements disseminateinternalcommunications managebudgets definetechnologystrategy managehumanresources managecontentmetadata managecontentdevelopmentprojects provideguidelinesforcontentdevelopment identifylegalrequirements applyorganisationaltechniques performresourceplanning manageinformationsources systemsdevelopmentlife-cycle crowdsourcingstrategy outsourcingstrategy ICThelpplatforms usabilityengineering qualityassurancemethodologies documentmanagement insourcingstrategy suppliermanagement setqualityassuranceobjectives applychangemanagement maintainrelationshipwithsuppliers identifymarketrequirementsforICTdocumentation plandigitalmarketing monitortechnologytrends trackkeyperformanceindicators managelocalisation developmediastrategy identifyICTuserneeds","### Job Description: ICT Documentation Manager

As an ICT Documentation Manager, you'll be the go-to person for creating and maintaining all documents that explain how our software and IT tools work. Your main job is to make sure all the information that the company needs to handle its tech products correctly and legally is well-organized and easy to understand. Each day, you might write guidelines, check that our documents meet legal rules, manage budgets, and plan how to use people and resources efficiently.

You will also oversee projects that involve making new instructions or info about our tech tools, and make sure that outside companies we work with are doing things right, updating any information that needs changing as new technology trends pop up. Plus, you'll have a hand in designing helpful IT platforms for our users and ensuring our documents are easy to use and of top quality.

In addition to managing your team, it will be important to keep good relationships with the suppliers we work with and understand what new things our users need. Your strategic planning in digital marketing and content localisation will help our company stay ahead in the market.

---
This description is designed to fit the understanding level of a 16-year-old student, using straightforward language and focusing on daily tasks and overarching responsibilities.","9","10","10","2","2","4","4","22","Agriculture and Animal Husbandry"
