Skill Vec,Domain of Interest
managerelationshipswithstakeholders computeaverageweightofcigarettes cleanindustrialcontainers blowmouldingmachineparts usebodyadornmentequipment,Data and IT Security
labelbloodsamples managestable defineartisticapproach attachclockcases designweftknittedfabrics,Restoration and Craftsmanship
createsoftwaredesign teachliteracyasasocialpractice treepreservationandconservation entertainmentindustry storefilmreels,Mechanical Engineering
carryoutsecurityactivitieswithadog legalrequirementsinthesocialsector typesofcondiments typesofsatellites overseethepresentationofvehiclesindealership,Footwear and Leather Production
negotiateimprovementwithsuppliers assistchildrenwithspecialneedsineducationsettings silvering maintainlandscapesite typesofmoulding,International Trade Compliance
evaluatepotentialaquacultureconflicts typesofpensions tendfansformachines interprettarotcards conservenewmedia,Construction
deliverleaflets modelsets reprography readcheckedbaggagetags changepowerdistributionsystems,Food Manufacturing
tendrivetingmachine adviseondating managepackagingdevelopmentcyclefromconcepttolaunch evaluatepharmaceuticalmanufacturingprocess stayalert,Agriculture and Animal Husbandry
drivemotorvehicleprototypes followproceduresintheeventofanalarm performbusinessanalysis rheumatology manageelectroniclogisticsforsoundequipment,Customer Service
checkcorrectnessofinformation analysestaffcapacity designmusictherapyterminationplan conductthreatintelligence assessgroundwaterenvironmentalimpact,Teaching
performfinancialmarketbusiness operateradionavigationinstruments presetcostumes planningprinciplesformusictherapyinterventions maintainplasticmachinery,Logistics and Supply Chain
conductresearchonspeech-relatedtopics providetechnicaltraining adviseonbuildingmatters conformwithproductionrequirements evaluateforensicdata,Academic Research
checkformedicationexpiryterms ensureinformationsecurity designtrainingprogrammesforanimals controlodoursfrompreparedanimalfeedsproduction striveforcompanygrowth,Agriculture and Animal Husbandry
regulatesteampressure evaluatecompanyneeds investigateforgerycases preparematerialsfordentalprocedures maintainincidentreportingrecords,International Trade Compliance
maintainprofessionalboundariesinsocialwork stunanimals ensurevisualqualityoftheset provideneuromusculoskeletaltherapy automaticcontrolsystem,Technical Support
advisesupervisors operaterustproofingspraygun ice-skating organisebusinessdocuments handlecontactlenses,Logistics and Supply Chain
overseeoperationalsafetyontrains preparepasta developsolutionsforharmfulbehaviour energysavingpotentialofautomatedshiftsystems listenactively,Footwear and Leather Production
layinterlockingrooftiles combinemultiplefieldsofknowledge ensureclientorientation labelmedicallaboratorysamples builddevicesintoprops,Industrial Machinery Operation
trainstaffoncallqualityassurance examinecivilstructures monitorgamingroom bearolemodelincommunityarts handlecybersecurityincidents,Social Work
academicenglish installsoftware castmetal followupcomplaintreports hairdressing,Footwear and Leather Production
grindterrazzo producemeat-basedjellypreparations constructionproducts attendbookfairs maintaincores,Healthcare
prepareready-madedishes developfoodpolicy liaisewithtypists installoven performsmallvesselsafetymeasures,Production Quality Control
responsiblegambling affixmemorialplaques procureelectricalmachinery provideguidelinesforcontentdevelopment ibmwebsphere,Agriculture and Animal Husbandry
establishcollaborativerelations sellart supportpeoplewithhearingimpairment advisecustomersonsmarthomestechnology assessoperatingcost,Environmental Compliance
